2	zcjkguasq321	too much miti kata in hawa	Tue Apr 04 13:03:20 CDT 2017	null	null	null	too much miti kata in hawa
2	kdlewis04	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 13:10:28 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
3	thewoman62	@seanhannity is this true? #Obama must have spied on anyone mentioning Russia or #Trump in phone conversation, what… https://t.co/rtHfx86HIs	Tue Apr 04 13:10:29 CDT 2017	null	null	null	@seanhannity is this true? #Obama must have spied on anyone mentioning Russia or #Trump in phone conversation, what… https://t.co/rtHfx86HIs
4	cupcake1194	RT @jr7jc: I have to wonder why the Trump Admin is waiting so long to drop the hammer - I believe they will - just hope it is… 	Tue Apr 04 13:10:30 CDT 2017	null	null	null	RT @jr7jc: I have to wonder why the Trump Admin is waiting so long to drop the hammer - I believe they will - just hope it is… 
5	pokeyrosie02	RT @whiskey999111: Why did the #Fed raise rates? To screw #Trump & help #Radical #Islamist #Obama? https://t.co/fjLZPkt0Mh	Tue Apr 04 13:10:30 CDT 2017	null	null	null	RT @whiskey999111: Why did the #Fed raise rates? To screw #Trump & help #Radical #Islamist #Obama? https://t.co/fjLZPkt0Mh
6	1pattydaniel	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S	Tue Apr 04 13:10:34 CDT 2017	null	null	null	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S
7	kwilli1046	RT @kwilli1046: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/MoDkbpC7kf	Tue Apr 04 13:10:36 CDT 2017	null	null	null	RT @kwilli1046: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/MoDkbpC7kf
8	Christ0pherWade	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…	Tue Apr 04 13:10:36 CDT 2017	null	null	null	RT @QuinnipiacPoll: #Trump Slump Continues As He Drops Below #Obama; #Republicans In #Congress Drop To More Than 3-1 Negative https://t.co/…
9	kellydem	RT @jamietarabay: And now what? #Idlib #Syria #DonaldTrump #Assad https://t.co/NPy1N0Q22n	Tue Apr 04 13:10:37 CDT 2017	null	null	null	RT @jamietarabay: And now what? #Idlib #Syria #DonaldTrump #Assad https://t.co/NPy1N0Q22n
10	watchjbourne	Forget about #Obama and watch this new #thriller movie: https://t.co/k9ozByz4I1 https://t.co/9ZAVNrq6DW	Tue Apr 04 13:10:37 CDT 2017	null	null	null	Forget about #Obama and watch this new #thriller movie: https://t.co/k9ozByz4I1 https://t.co/9ZAVNrq6DW
11	bails94	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 13:10:38 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
12	Miss_Placed_	Yeh....we don't care. https://t.co/UFelha8Fj0	Tue Apr 04 13:10:44 CDT 2017	null	null	null	Yeh....we don't care. https://t.co/UFelha8Fj0
13	jilladavis	RT @jamietarabay: And now what? #Idlib #Syria #DonaldTrump #Assad https://t.co/NPy1N0Q22n	Tue Apr 04 13:10:46 CDT 2017	null	null	null	RT @jamietarabay: And now what? #Idlib #Syria #DonaldTrump #Assad https://t.co/NPy1N0Q22n
14	MObese2016	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 13:10:46 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
15	BeverleyCreek	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 13:10:48 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
16	nj_how	RT @ShekelSeaman: AMERICA Ambassador Chris Stevens SPEAKS FROM THE GRAVE ABOUT HILLARY CL... https://t.co/vzb3hKZ8g5 #ChrisSteven #Obama #…	Tue Apr 04 13:10:48 CDT 2017	null	null	null	RT @ShekelSeaman: AMERICA Ambassador Chris Stevens SPEAKS FROM THE GRAVE ABOUT HILLARY CL... https://t.co/vzb3hKZ8g5 #ChrisSteven #Obama #…
17	00Lilac_Sky00	RT @FoxNewsResearch: Suspected #Syria Chemical Attack: ∙1,687 days after #Obama “red line” comment ∙4 days after #Tillerson says Syrians… 	Tue Apr 04 13:10:50 CDT 2017	null	null	null	RT @FoxNewsResearch: Suspected #Syria Chemical Attack: ∙1,687 days after #Obama “red line” comment ∙4 days after #Tillerson says Syrians… 
18	platfus125	@Aftonbladet @SVD @DN #Obama #PKmedia Susan Rice defiant amid growing calls for her to testify under oath | https://t.co/HvMr7nZ9g6 #svpol	Tue Apr 04 13:10:50 CDT 2017	null	null	null	@Aftonbladet @SVD @DN #Obama #PKmedia Susan Rice defiant amid growing calls for her to testify under oath | https://t.co/HvMr7nZ9g6 #svpol
19	LaurieMettier	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 13:10:51 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
